# a rho dNda dNdaerr
0.0 inf nan nan
0.1 154881661.891 0.0 0.0
0.2 11432131.6302 0.0 0.0
0.3 2488995.33283 0.0 0.0
0.4 843828.972487 0.0 0.0
0.5 364647.116526 0.0 0.0
0.6 183717.8264 0.0 0.0
0.7 102903.78981 0.0 0.0
0.8 62284.7390005 0.0 0.0
0.9 39998.9107245 0.0 0.0
1.0 26915.3480393 0.0 0.0
1.1 18808.9046053 0.0 0.0
1.2 13560.587797 0.0 0.0
1.3 10036.285228 0.0 0.0
1.4 7595.53878743 0.0 0.0
1.5 5859.98987924 0.0 0.0
1.6 4597.36372992 0.0 0.0
1.7 3660.26100967 0.0 0.0
1.8 2952.40125192 0.0 0.0
1.9 2409.27547849 0.0 0.0
2.0 1986.67678214 0.0 0.0
2.1 1653.6951466 0.0 0.0
2.2 1388.32364427 0.0 0.0
2.3 1174.63608032 1177.60575371 1.33067489586
2.4 1000.93466706 4511.33438025 5.9493815955
2.5 858.510413479 7903.64434537 12.0878655484
2.6 740.79870014 9176.66910331 16.1822283443
2.7 642.794640087 10500.7473678 21.2359001198
2.8 560.642222973 11629.4434914 26.8375326948
2.9 491.341591139 10687.2514956 28.0137186012
3.0 432.537815214 14196.2021022 42.0845151529
3.1 382.366672073 12309.9526512 41.1054428167
3.2 339.340801685 13917.7347062 52.1510401952
3.3 302.264807896 14144.0980699 59.2626217669
3.4 270.171336958 13248.9234381 61.8655757882
3.5 242.272518099 14365.6283655 74.5232228376
3.6 217.922763257 13863.8199263 79.6637941246
3.7 196.590042927 13540.0625008 85.9395207393
3.8 177.833541216 13718.8256273 95.924908093
3.9 161.2861509 12988.4582151 99.7980659839
4.0 146.640668771 13692.942063 115.338563761
4.1 133.638840454 12948.7202408 119.297748645
4.2 122.062614524 12776.3083118 128.469580972
4.3 111.727120761 12053.95063 132.013973198
4.4 102.475002224 11719.4373329 139.521127338
4.5 94.1718166098 11371.114818 146.88061077
4.6 86.7022869192 10806.8731616 151.185793361
4.7 79.9672302748 10504.3241557 158.885161444
4.8 73.881031023 10259.2409171 167.502356056
4.9 68.3695527796 9626.25616432 169.382752133
5.0 63.3684061299 9632.2055635 182.384051165
5.1 58.821505779 9096.81074025 185.084009246
5.2 54.6798642789 8566.58497934 187.025086715
5.3 50.9005799125 8869.99995741 207.512864009
5.4 47.4459845468 8136.47048115 203.716122518
5.5 44.2829237857 8015.74214754 214.516301737
5.6 41.3821469386 7870.96444873 224.879821994
5.7 38.7177884602 7496.01856948 228.379111925
5.8 36.2669258369 7479.63087811 242.730182528
5.9 34.0092015742 7127.11534457 246.097153082
6.0 31.9264990974 6843.60562846 251.173613565
6.1 30.0026641383 6736.32169737 262.524669308
6.2 28.2232646058 6455.76248173 266.888202357
6.3 26.5753831122 6435.68463419 281.968730407
6.4 25.0474372821 6118.55060412 283.845400907
6.5 23.6290237612 6064.4084571 297.621245171
6.6 22.3107824959 5833.12655135 302.583947724
6.7 21.084278389 5723.27699293 313.542414962
6.8 19.9418978923 5557.96467863 321.309181335
6.9 18.8767584618 5418.73042668 330.308496728
7.0 17.8826291213 5283.45440092 339.331243674
7.1 16.9538606346 5171.94948191 349.721296714
7.2 16.0853240103 5029.98662496 357.835803712
7.3 15.2723562462 4931.72909273 368.859687829
7.4 14.5107123755 4806.53558417 377.696799275
7.5 13.7965230114 4708.16356113 388.439984296
7.6 13.1262566958 4594.73652905 397.75344804
7.7 12.4966864536 4499.76358653 408.461407298
7.8 11.9048600377 4397.8818461 418.35692785
7.9 11.348073415 4302.27143387 428.631563411
8.0 10.8238471054 4212.8277306 439.329486957
8.1 10.3299050359 4119.49465496 449.411894087
8.2 9.86415561614 4038.7014796 460.665870422
8.3 9.42467477687 3950.42318874 470.865745096
8.4 9.00969074922 3871.73889134 481.992043721
8.5 8.61757038638 3792.24704961 492.818863062
8.6 8.24680685634 3715.90760111 503.841903915
8.7 7.89600855413 3643.04836076 515.133535299
8.8 7.56388910037 3570.9734655 526.330724969
8.9 7.24925830901 3501.90745001 537.762344194
9.0 6.95101402061 3435.94315763 549.47290236
9.1 6.66813470983 3369.00000353 560.817123542
9.2 6.39967278629 3308.19312812 572.981590282
9.3 6.14474851701 3245.91272628 584.695756504
9.4 5.90254450684 3185.7340779 596.573049207
9.5 5.67230068054 3127.00803359 608.507148041
9.6 5.45330971606 3069.45837708 620.449336551
9.7 5.24491288442 3015.79094342 632.969273016
9.8 5.04649625612 2962.77625914 645.430539347
9.9 4.85748723861 2911.50193794 658.071132219
10.0 4.67735141287 2861.53945525 670.810324717
10.1 4.50558964054 2812.76719524 683.628838905
10.2 4.3417354162 2765.80420343 696.690768285
10.3 4.18535244179 2719.40490867 709.697054607
10.4 4.03603240258 2674.78120205 722.968348013
10.5 3.89339292631 2631.09990539 736.299481421
10.6 3.7570757087 2588.13265769 749.629767247
10.7 3.62674479057 2546.93471653 763.274803658
10.8 3.50208497276 2506.46227691 776.943441784
