# r frac rho dNdR
0.0 0.0 inf nan
0.1 0.0 15135612.4844 0.0
0.2 0.0 1494719.89288 0.0
0.3 0.0 385846.894561 0.0
0.4 0.0 147611.308129 0.0
0.5 0.0 70055.1690683 0.0
0.6 0.0 38104.3733446 0.0
0.7 0.0 22770.4989143 0.0
0.8 0.0 14577.3789401 0.0
0.9 0.0 9836.26042196 0.0
1.0 0.0 6918.30970919 0.0
1.1 0.0 5032.09036632 0.0
1.2 0.0 3763.00363811 0.0
1.3 0.0 2880.24348735 0.0
1.4 0.0 2248.70435425 0.0
1.5 0.0 1785.89201202 0.0
1.6 0.0 1439.59144767 0.0
1.7 0.0 1175.71105713 0.0
1.8 0.0 971.381510949 0.0
1.9 0.0 810.89191969 0.0
2.0 0.0 683.218809816 0.0
2.1 0.0 580.48039369 0.0
2.2 0.0 496.944909303 0.0
2.3 0.0150810314735 428.379843363 429.462858131
2.4 0.0622682900329 371.61604135 1674.91873223
2.5 0.117217361258 324.250288401 2985.1227407
2.6 0.145823762775 284.438917904 3523.49677343
2.7 0.178324317708 250.752359168 4096.31165427
2.8 0.210546101265 222.071167253 4606.43880324
2.9 0.205814819134 197.510726754 4296.088196
3.0 0.290198870508 176.366058503 5788.46085223
3.1 0.266589536511 158.070906033 5088.95128923
3.2 0.318729786427 142.167089483 5830.84564413
3.3 0.341940017102 128.281326111 6002.76184873
3.4 0.337577599344 116.107538243 5693.79380542
3.5 0.385189571986 105.393234192 6249.32636406
3.6 0.390886246544 95.9289404037 6106.81695791
3.7 0.400745901647 87.5399393963 6035.157986
3.8 0.425134355449 80.0797645014 6177.68907908
3.9 0.421329090533 73.4250435072 5912.95721436
4.0 0.464421686584 67.4713855996 6300.31069599
4.1 0.45868714801 62.1300808206 6019.99413008
4.2 0.472187265703 57.3254364677 6000.2602212
4.3 0.464327094215 52.9926159041 5717.23652691
4.4 0.470081984651 49.0758760087 5612.50686473
4.5 0.474512005638 45.5271227096 5497.33623393
4.6 0.468752906945 42.3047216783 5273.0069478
4.7 0.473206260006 39.3725147615 5171.88924084
4.8 0.479611891218 36.6990031022 5096.08365003
4.9 0.466651484071 34.2566659486 4823.24994607
5.0 0.483841466728 32.0213904026 4867.35636295
5.1 0.473154315144 29.9719922641 4635.20165837
5.2 0.461066690673 28.0898119808 4400.77466468
5.3 0.493672896352 26.358372763 4593.24364648
5.4 0.467992837575 24.7630903487 4246.60075175
5.5 0.476181159005 23.2910258335 4215.95598197
5.6 0.482646336783 21.930674538 4171.25674705
5.7 0.475019476488 20.6717851266 4009.11924741
5.8 0.488685323423 19.5052042089 4029.44886497
5.9 0.479871928502 18.4227424674 3867.1722243
6.0 0.475185067654 17.4170590285 3744.12184294
6.1 0.48168728484 16.4815613377 3712.21453996
6.2 0.474653597659 15.6103182462 3579.16547128
6.3 0.486262159917 14.7979843888 3588.9218588
6.4 0.475056324659 14.0397342348 3432.99999922
6.5 0.483399379257 13.3312044473 3421.46462801
6.6 0.477626991153 12.668443396 3312.14889264
6.7 0.481201036313 12.0478668447 3270.36466954
6.8 0.479646859002 11.4662189789 3195.7259247
6.9 0.479802030729 10.9205380638 3134.83122654
7.0 0.479822545063 10.4081261253 3075.09927143
7.1 0.481569644846 9.92652213338 3028.18762707
7.2 0.480023125028 9.47347824028 2962.4189609
7.3 0.482211520546 9.04693869066 2921.42548417
7.4 0.481360139753 8.64502107014 2863.58107889
7.5 0.482780256715 8.26599960651 2820.83232938
7.6 0.482261587654 7.90829027505 2768.23096266
7.7 0.483285215134 7.57043749245 2725.9369185
7.8 0.483192510514 7.25110221201 2678.6951448
7.9 0.483405540327 6.94905125688 2634.51809146
8.0 0.483951915959 6.66314774904 2593.41187445
8.1 0.483690672918 6.39234250933 2549.22196363
8.2 0.484556328135 6.13566631971 2512.13845442
8.3 0.484184854531 5.89222295194 2469.76948634
8.4 0.484649468067 5.66118287876 2432.78293704
8.5 0.4846900087 5.44177759359 2394.70803239
8.6 0.484810834193 5.23329447349 2358.0567669
8.7 0.485075072255 5.035072128 2323.07388429
8.8 0.485139082019 4.84649618285 2288.07020303
8.9 0.485312203236 4.66699545352 2254.49079771
9.0 0.48562710996 4.49603846885 2222.4286367
9.1 0.485516504645 4.33313030902 2189.26531356
9.2 0.486012643292 4.17780972659 2159.64188946
9.3 0.486023159229 4.02964652247 2128.62754163
9.4 0.486076560965 3.88823915169 2098.56883828
9.5 0.486521971252 3.7532125369 2070.91698778
9.6 0.486455711842 3.62421606937 2041.78363634
9.7 0.486743031941 3.50092177986 2014.81642734
9.8 0.486893506304 3.38302266326 1987.92916354
9.9 0.487088463077 3.27023114269 1961.85337738
10.0 0.487269167586 3.16227766017 1936.32742183
10.1 0.487204361079 3.05890938238 1910.42674884
10.2 0.487245537878 2.95988901094 1885.53025078
10.3 0.487368581381 2.86499368796 1861.51059122
10.4 0.487592565922 2.77401398841 1838.40953944
10.5 0.487776239644 2.68675299152 1815.66969365
10.6 0.487882220403 2.60302542454 1793.14329345
10.7 0.48811639813 2.52265687247 1771.57278425
10.8 0.488289199673 2.44548304811 1750.24622663
10.9 0.48842600455 2.37134911744 1729.24741515
11.0 0.488587349329 2.30010907552 1708.77894359
11.1 0.488743214764 2.23162516885 1688.72064814
11.2 0.488859204397 2.16576736025 1668.94302289
11.3 0.488974870161 2.10241283286 1649.57205148
11.4 0.489125023292 2.04144553 1630.71191643
11.5 0.489229617829 1.98275572814 1612.08337479
11.6 0.489297325839 1.92623964017 1593.70891
11.7 0.489364175669 1.87179904675 1575.69799558
11.8 0.489419886237 1.81934095338 1558.0076507
11.9 0.489446030508 1.76877727132 1540.5710995
12.0 0.489408401528 1.72002452046 1523.27535181
12.1 0.489378161846 1.67300355245 1506.33668578
12.2 0.48930844105 1.6276392926 1489.60252138
12.3 0.48919466214 1.58386049908 1473.05419176
12.4 0.489031408054 1.54159953823 1456.67128274
12.5 0.488838483305 1.50079217461 1440.50853082
12.6 0.488571756755 1.46137737493 1424.43190079
12.7 0.488293474646 1.4232971247 1408.61983196
12.8 0.487958323561 1.38649625664 1392.93623261
12.9 0.487536198821 1.35092229022 1377.29356748
13.0 0.486929209698 1.31652528128 1361.41834856
13.1 0.486015050669 1.28325768123 1344.98068116
13.2 0.485429952186 1.25107420498 1329.74193827
13.3 0.484848819634 1.21993170716 1314.78580857
13.4 0.484261056609 1.18978906589 1300.07671368
13.5 0.483704679885 1.16060707381 1285.70964981
13.6 0.483141038349 1.13234833552 1271.57404648
13.7 0.482586900217 1.10497717145 1257.70802751
13.8 0.482057398768 1.07845952727 1244.14397624
13.9 0.481408429355 1.05276288888 1230.50596148
14.0 0.480829074856 1.02785620226 1217.27588091
14.1 0.480302073718 1.00370979816 1204.3999111
14.2 0.479783061241 0.980295321062 1191.75887192
14.3 0.47894356125 0.957585662314 1178.53887587
14.4 0.478424754834 0.935554897107 1166.32011992
14.5 0.477914935144 0.914178225018 1154.32298573
14.6 0.477409004204 0.89343191394 1142.53008069
14.7 0.476908844676 0.873293247163 1130.94116534
14.8 0.476196073493 0.853740473417 1119.0383634
14.9 0.475621215003 0.834752759686 1107.64727235
15.0 0.475149143636 0.816310146624 1096.67395061
15.1 0.474664730501 0.798393506416 1085.8447046
15.2 0.474220668931 0.780984502937 1075.27595656
15.3 0.473741332576 0.76406555406 1064.79161881
15.4 0.473297661327 0.74761979599 1054.54825316
15.5 0.472799710813 0.731631049509 1044.34163079
15.6 0.47236733328 0.716083788004 1034.43393292
15.7 0.471911100127 0.700963107188 1024.62399609
15.8 0.471485643096 0.686254696399 1015.02757402
15.9 0.471058663085 0.671944811404 1005.57093635
16.0 0.470628749992 0.658020248599 996.248180661
16.1 0.47019652083 0.644468320544 987.057837843
16.2 0.469776628759 0.631276832744 978.027691704
16.3 0.469369596852 0.618434061613 969.155420498
16.4 0.468958056108 0.605928733547 960.402116634
16.5 0.468550296017 0.593750005048 951.782237032
16.6 0.468150262156 0.581887443843 943.301004624
16.7 0.467746205198 0.570331010931 934.932087812
16.8 0.467378712236 0.55907104353 926.75375452
16.9 0.466955658645 0.548098238839 918.58071291
17.0 0.466590510242 0.537403638613 910.634733157
17.1 0.466199606452 0.526978614468 902.748922357
17.2 0.465822277868 0.5168148539 894.997866241
17.3 0.46544884679 0.506904346979 887.360401599
17.4 0.464975708477 0.497239373667 879.638311335
17.5 0.464415254479 0.487812491739 871.857193554
17.6 0.464065348198 0.47861652528 864.573719201
17.7 0.463697535513 0.469644553708 857.354585099
17.8 0.463352452599 0.46088990132 850.273271342
17.9 0.462995944292 0.452346127312 843.26483319
18.0 0.462651792383 0.444007016265 836.37098144
18.1 0.462298640485 0.435866569063 829.551188694
18.2 0.461965328621 0.427918994227 822.855518843
18.3 0.461618384642 0.420158699638 816.222384101
18.4 0.461287535553 0.412580284639 809.702911479
18.5 0.460957242206 0.405178532482 803.267860218
18.6 0.460618789975 0.39794840312 796.900627664
18.7 0.460312463776 0.39088502631 790.669243947
18.8 0.459976623751 0.38398369503 784.465967238
18.9 0.459654827051 0.377239859178 778.364233714
19.0 0.459343771672 0.370649119544 772.356615565
19.1 0.459025635239 0.364207222052 766.411640289
19.2 0.458724207106 0.35791005224 760.56769738
19.3 0.458401459117 0.351753629988 754.760322361
19.4 0.458106160578 0.345734104462 749.068747831
19.5 0.457797102791 0.339847749277 743.423909845
19.6 0.457500234898 0.334090957868 737.86693575
19.7 0.457204898871 0.328460239048 732.379190754
19.8 0.456907967775 0.322952212758 726.95451901
19.9 0.456608284982 0.317563605991 721.590038159
20.0 0.456332614088 0.312291248889 716.326765322
20.1 0.456045854173 0.307132070996 711.108154845
20.2 0.455754273576 0.302083097666 705.943231564
20.3 0.455466633186 0.297141446621 700.844613658
20.4 0.455193552643 0.292304324646 695.827424905
20.5 0.454915169249 0.287569024419 690.860096505
20.6 0.454424112136 0.282932921465 685.628964411
20.7 0.454038870537 0.278393471238 680.616754505
20.8 0.453788105647 0.273948206316 675.862115671
20.9 0.45336178555 0.269594733706 670.901481234
21.0 0.453038441857 0.265330732259 666.148514902
21.1 0.452775478598 0.261153950181 661.537202263
21.2 0.452527022318 0.257062202652 656.998424738
21.3 0.452114772706 0.253053369522 652.273737861
21.4 0.451738534599 0.249125393113 647.653245883
21.5 0.451496274462 0.245276276092 643.274741285
21.6 0.451233161681 0.241504079434 638.914650086
21.7 0.45100092476 0.237806920461 634.645570212
21.8 0.450732728864 0.234182970954 630.37249746
21.9 0.450331864851 0.230630455337 625.961219906
22.0 0.450003680062 0.227147648932 621.698095708
22.1 0.44976158002 0.223732876275 617.598981661
22.2 0.449512115023 0.220384509498 613.533497772
22.3 0.449038706257 0.217100966774 609.207337503
22.4 0.448654575868 0.213880710811 605.047709196
22.5 0.448179516943 0.210722247409 600.810195607
22.6 0.447851237529 0.207624124069 596.813081979
22.7 0.447604898321 0.20458492865 592.966346529
22.8 0.447397468747 0.201603288077 589.210790503
22.9 0.447165820933 0.198677867096 585.46227849
23.0 0.446788054078 0.19580736707 581.562127288
23.1 0.44648503017 0.192990524827 577.798903489
23.2 0.446265553267 0.190226111536 574.18167741
23.3 0.446037107825 0.187512931638 570.589691119
