# r frac rho dNdR
0.0 0.0 inf nan
0.1 0.0 15135612.4844 0.0
0.2 0.0 1494719.89288 0.0
0.3 0.0 385846.894561 0.0
0.4 0.0 147611.308129 0.0
0.5 0.0 70055.1690683 0.0
0.6 0.0 38104.3733446 0.0
0.7 0.0 22770.4989143 0.0
0.8 0.0 14577.3789401 0.0
0.9 0.0 9836.26042196 0.0
1.0 0.0 6918.30970919 0.0
1.1 0.0 5032.09036632 0.0
1.2 0.0 3763.00363811 0.0
1.3 0.0 2880.24348735 0.0
1.4 0.0 2248.70435425 0.0
1.5 0.0 1785.89201202 0.0
1.6 0.0 1439.59144767 0.0
1.7 0.0 1175.71105713 0.0
1.8 0.0 971.381510949 0.0
1.9 0.0 810.89191969 0.0
2.0 0.0 683.218809816 0.0
2.1 0.0 580.48039369 0.0
2.2 0.0 496.944909303 0.0
2.3 0.0150810314735 428.379843363 429.462858131
2.4 0.0622682900329 371.61604135 1674.91873223
2.5 0.117217361258 324.250288401 2985.1227407
2.6 0.145823762775 284.438917904 3523.49677343
2.7 0.178324317708 250.752359168 4096.31165427
2.8 0.210546101265 222.071167253 4606.43880324
2.9 0.205814819134 197.510726754 4296.088196
3.0 0.290198870508 176.366058503 5788.46085223
3.1 0.266589536511 158.070906033 5088.95128923
3.2 0.318729786427 142.167089483 5830.84564413
3.3 0.341940017102 128.281326111 6002.76184873
3.4 0.338279948761 116.107538243 5705.64006763
3.5 0.385807338184 105.393234192 6259.34902008
3.6 0.391160845991 95.9289404037 6111.10702586
3.7 0.400745901647 87.5399393963 6035.157986
3.8 0.425134355449 80.0797645014 6177.68907908
3.9 0.421329090533 73.4250435072 5912.95721436
4.0 0.464421686584 67.4713855996 6300.31069599
4.1 0.45868714801 62.1300808206 6019.99413008
4.2 0.472187265703 57.3254364677 6000.2602212
4.3 0.464327094215 52.9926159041 5717.23652691
4.4 0.470081984651 49.0758760087 5612.50686473
4.5 0.474512005638 45.5271227096 5497.33623393
4.6 0.468752906945 42.3047216783 5273.0069478
4.7 0.473206260006 39.3725147615 5171.88924084
4.8 0.479611891218 36.6990031022 5096.08365003
4.9 0.466651484071 34.2566659486 4823.24994607
5.0 0.483841466728 32.0213904026 4867.35636295
5.1 0.473154315144 29.9719922641 4635.20165837
5.2 0.461066690673 28.0898119808 4400.77466468
5.3 0.493672896352 26.358372763 4593.24364648
5.4 0.467992837575 24.7630903487 4246.60075175
5.5 0.476181159005 23.2910258335 4215.95598197
5.6 0.482646336783 21.930674538 4171.25674705
5.7 0.475019476488 20.6717851266 4009.11924741
5.8 0.488685323423 19.5052042089 4029.44886497
5.9 0.479871928502 18.4227424674 3867.1722243
6.0 0.475185067654 17.4170590285 3744.12184294
6.1 0.48168728484 16.4815613377 3712.21453996
6.2 0.47501748071 15.6103182462 3581.9093621
6.3 0.486998349547 14.7979843888 3594.35540323
6.4 0.476019343865 14.0397342348 3439.9592686
6.5 0.484805389038 13.3312044473 3431.41626001
6.6 0.479008284819 12.668443396 3321.72760232
6.7 0.482558588827 12.0478668447 3279.59094182
6.8 0.480980102543 11.4662189789 3204.60887862
6.9 0.481114166387 10.9205380638 3143.40418698
7.0 0.481062418531 10.4081261253 3083.04540493
7.1 0.482197601417 9.92652213338 3032.13631931
7.2 0.480515593182 9.47347824028 2965.45818322
7.3 0.482211520546 9.04693869066 2921.42548417
7.4 0.481360139753 8.64502107014 2863.58107889
7.5 0.482780256715 8.26599960651 2820.83232938
7.6 0.482261587654 7.90829027505 2768.23096266
7.7 0.483285215134 7.57043749245 2725.9369185
7.8 0.483192510514 7.25110221201 2678.6951448
7.9 0.483405540327 6.94905125688 2634.51809146
8.0 0.483951915959 6.66314774904 2593.41187445
8.1 0.483690672918 6.39234250933 2549.22196363
8.2 0.484556328135 6.13566631971 2512.13845442
8.3 0.484184854531 5.89222295194 2469.76948634
8.4 0.484649468067 5.66118287876 2432.78293704
8.5 0.4846900087 5.44177759359 2394.70803239
8.6 0.484810834193 5.23329447349 2358.0567669
8.7 0.485075072255 5.035072128 2323.07388429
8.8 0.485139082019 4.84649618285 2288.07020303
8.9 0.485312203236 4.66699545352 2254.49079771
9.0 0.48562710996 4.49603846885 2222.4286367
9.1 0.485516504645 4.33313030902 2189.26531356
9.2 0.486012643292 4.17780972659 2159.64188946
9.3 0.486023159229 4.02964652247 2128.62754163
9.4 0.486076560965 3.88823915169 2098.56883828
9.5 0.486521971252 3.7532125369 2070.91698778
9.6 0.486455711842 3.62421606937 2041.78363634
9.7 0.486743031941 3.50092177986 2014.81642734
9.8 0.486893506304 3.38302266326 1987.92916354
9.9 0.487088463077 3.27023114269 1961.85337738
10.0 0.487269167586 3.16227766017 1936.32742183
10.1 0.487422719361 3.05890938238 1911.28297579
10.2 0.487663852577 2.95988901094 1887.14903424
10.3 0.487783212032 2.86499368796 1863.09427834
10.4 0.488003579491 2.77401398841 1839.95921702
10.5 0.488183701001 2.68675299152 1817.18640394
10.6 0.488286953529 2.60302542454 1794.6308338
10.7 0.488517706851 2.52265687247 1773.02929669
10.8 0.488687142905 2.44548304811 1751.67263262
10.9 0.48882138567 2.37134911744 1730.64724189
11.0 0.488912076742 2.30010907552 1709.91464095
11.1 0.488743214764 2.23162516885 1688.72064814
11.2 0.488859204397 2.16576736025 1668.94302289
11.3 0.488974870161 2.10241283286 1649.57205148
11.4 0.489125023292 2.04144553 1630.71191643
11.5 0.489229617829 1.98275572814 1612.08337479
11.6 0.489297325839 1.92623964017 1593.70891
11.7 0.489364175669 1.87179904675 1575.69799558
11.8 0.489419886237 1.81934095338 1558.0076507
11.9 0.489446030508 1.76877727132 1540.5710995
12.0 0.489408401528 1.72002452046 1523.27535181
12.1 0.489378161846 1.67300355245 1506.33668578
12.2 0.48930844105 1.6276392926 1489.60252138
12.3 0.48919466214 1.58386049908 1473.05419176
12.4 0.489031408054 1.54159953823 1456.67128274
12.5 0.488838483305 1.50079217461 1440.50853082
12.6 0.488571756755 1.46137737493 1424.43190079
12.7 0.488293474646 1.4232971247 1408.61983196
12.8 0.487958323561 1.38649625664 1392.93623261
12.9 0.487536198821 1.35092229022 1377.29356748
13.0 0.486956020002 1.31652528128 1361.49330821
13.1 0.486366271125 1.28325768123 1345.9526361
13.2 0.48577935275 1.25107420498 1330.69905388
13.3 0.485195755282 1.21993170716 1315.72660919
13.4 0.484606232344 1.18978906589 1301.00339347
13.5 0.484048126156 1.16060707381 1286.62254605
13.6 0.483482784835 1.13234833552 1272.47348563
13.7 0.482926975859 1.10497717145 1258.59432564
13.8 0.482395171458 1.07845952727 1245.0157352
13.9 0.481817688275 1.05276288888 1231.5520494
14.0 0.481299783193 1.02785620226 1218.46753494
14.1 0.480770912393 1.00370979816 1205.57556553
14.2 0.480112304317 0.980295321062 1192.57669645
14.3 0.479376584469 0.957585662314 1179.60441832
14.4 0.478892790376 0.935554897107 1167.46111287
14.5 0.478257824512 0.914178225018 1155.15117722
14.6 0.477736865695 0.89343191394 1143.31471528
14.7 0.477234597346 0.873293247163 1131.71365491
14.8 0.476762167268 0.853740473417 1120.36865713
14.9 0.476270664191 0.834752759686 1109.15973773
15.0 0.475796381171 0.816310146624 1098.16781533
15.1 0.475309150801 0.798393506416 1087.31888274
15.2 0.474861696747 0.780984502937 1076.72946089
15.3 0.474378375197 0.76406555406 1066.22345006
15.4 0.47393355163 0.74761979599 1055.96507193
15.5 0.473421334865 0.731631049509 1045.71470243
15.6 0.472721690589 0.716083788004 1035.20993752
15.7 0.472265224444 0.700963107188 1025.39287877
15.8 0.471838379178 0.686254696399 1015.78695419
15.9 0.471399232745 0.671944811404 1006.29795185
16.0 0.470939861513 0.658020248599 996.906755572
16.1 0.470506398681 0.644468320544 987.708347467
16.2 0.469793607298 0.631276832744 978.063039314
16.3 0.469369596852 0.618434061613 969.155420498
16.4 0.468958056108 0.605928733547 960.402116634
16.5 0.468550296017 0.593750005048 951.782237032
16.6 0.468150262156 0.581887443843 943.301004624
16.7 0.467746205198 0.570331010931 934.932087812
16.8 0.467378712236 0.55907104353 926.75375452
16.9 0.466955658645 0.548098238839 918.58071291
17.0 0.466590510242 0.537403638613 910.634733157
17.1 0.466199606452 0.526978614468 902.748922357
17.2 0.465822277868 0.5168148539 894.997866241
17.3 0.46544884679 0.506904346979 887.360401599
17.4 0.465094563778 0.497239373667 879.863161094
17.5 0.464703872771 0.487812491739 872.39902316
17.6 0.464353580054 0.47861652528 865.110707555
17.7 0.463984260701 0.469644553708 857.88472627
17.8 0.463638247221 0.46088990132 850.797717747
17.9 0.463280820232 0.452346127312 843.78368409
18.0 0.462935761304 0.444007016265 836.884333747
18.1 0.462581713831 0.435866569063 830.059137042
18.2 0.462247517625 0.427918994227 823.358155653
18.3 0.461899700329 0.420158699638 816.719799647
18.4 0.46156743452 0.412580284639 810.19422111
18.5 0.461236839252 0.405178532482 803.755088316
18.6 0.460896994763 0.39794840312 797.381940141
18.7 0.46059038404 0.39088502631 791.146621865
18.8 0.460253175386 0.38398369503 784.937611523
18.9 0.459753567277 0.377239859178 778.531437136
19.0 0.459343771672 0.370649119544 772.356615565
19.1 0.459025635239 0.364207222052 766.411640289
19.2 0.458724207106 0.35791005224 760.56769738
19.3 0.458401459117 0.351753629988 754.760322361
19.4 0.458106160578 0.345734104462 749.068747831
19.5 0.457797102791 0.339847749277 743.423909845
19.6 0.457500234898 0.334090957868 737.86693575
19.7 0.457204898871 0.328460239048 732.379190754
19.8 0.456907967775 0.322952212758 726.95451901
19.9 0.456608284982 0.317563605991 721.590038159
20.0 0.456332614088 0.312291248889 716.326765322
20.1 0.456045854173 0.307132070996 711.108154845
20.2 0.455754273576 0.302083097666 705.943231564
20.3 0.455466633186 0.297141446621 700.844613658
20.4 0.455193552643 0.292304324646 695.827424905
20.5 0.454915169249 0.287569024419 690.860096505
20.6 0.454652753488 0.282932921465 685.973935395
20.7 0.454359549327 0.278393471238 681.09746083
20.8 0.454108371525 0.273948206316 676.33911269
20.9 0.45383202509 0.269594733706 671.597359038
21.0 0.453563876444 0.265330732259 666.921114835
21.1 0.453300687229 0.261153950181 662.304569456
21.2 0.453050841475 0.257062202652 657.758928187
21.3 0.452780276036 0.253053369522 653.233870931
21.4 0.452461449106 0.249125393113 648.689681544
21.5 0.452217614036 0.245276276092 644.302478509
21.6 0.451952669826 0.241504079434 639.933423381
21.7 0.451719636934 0.237806920461 635.656937312
21.8 0.451449394094 0.234182970954 631.374789998
21.9 0.451208773969 0.230630455337 627.180123441
22.0 0.45097466432 0.227147648932 623.039549325
22.1 0.450729687697 0.223732876275 618.928357805
22.2 0.450482063888 0.220384509498 614.85736892
22.3 0.449917681746 0.217100966774 610.399836746
22.4 0.449562262945 0.213880710811 606.271800103
22.5 0.449318919953 0.210722247409 602.337630305
22.6 0.449102932857 0.207624124069 598.481109404
22.7 0.448854889381 0.20458492865 594.622277094
22.8 0.44864425241 0.201603288077 590.852772051
22.9 0.448408938317 0.198677867096 587.089858913
23.0 0.448013594495 0.19580736707 583.157353225
23.1 0.447715782623 0.192990524827 579.391627478
23.2 0.447495702906 0.190226111536 575.76443319
23.3 0.447263789954 0.187512931638 572.158915216
